Sample_ID,Treatment,Variety,Sample,D_conv,D_stress,D_recovery,Category,Rank,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,VI_NDVI,VI_NDRE,VI_EVI,VI_SIPI,VI_PRI,VI_MTCI,VI_GNDVI,VI_NDWI,BF(F440),GF(F520),RF(F690),FrF(f740),SR_F690_F740,SR_F440_F690,SR_F440_F520,SR_F520_F690,SR_F440_F740,SR_F520_F740,OJIP_FvFm,OJIP_PIabs,OJIP_TRo_RC,OJIP_ETo_RC,OJIP_Vi,OJIP_Vj,OJIP_ABS_RC_log,OJIP_DIo_RC_log,Trt_CK1,Trt_D1,Trt_RD2
CK1_73_2,CK1,85.74560878207305,1.9858002240631565,0.33025550330543346,0.3336239515073926,0.31517044432351493,Intermediate,8.012231708597113,0.044760685182023904,0.20085669138843326,0.17373155175170016,0.17928168696943106,0.09835307452128644,0.20004282911589608,0.3273169259098403,0.3627546130103216,0.381482502792176,0.38681680372229926,0.37810081322464534,0.36837760903594363,0.5969467145431594,0.24430952570845887,0.6056500932115509,0.07455273677734758,-2.859886513984086,0.32050613661187216,0.01401011619634388,0.07690266796627167,0.1548790028603489,0.08701892581997035,0.33952493633262554,0.25700079151512784,0.8809988646100237,0.49793623437418466,1.776581223497429,0.22770854411808356,0.457247770864006,0.8317585114149975,3.296677546882081,1.2747467993887882,0.6937532277320707,0.8209771726014902,0.4547897958681624,0.9356955127523896,0.22620671070956783,1,0,0
CK1_1252_1,CK1,1248.775852046101,1.021307562623916,0.5737255385283682,0.6494305546133495,0.4990340312760376,Tolerant,0.9845603378276278,0.03588272447640207,0.15439583102364587,0.12343797774631589,0.11101813785928855,0.07019118545663677,0.13724639293499663,0.31393763366534083,0.358335440425533,0.37704069783876215,0.3558408773285353,0.3388520958466454,0.5216807261692299,0.6763906455064552,0.3470507879488164,0.6820820430334544,0.11497714770459938,-5.774554441117067,0.39921642716119365,0.027328053635090416,0.0724540563923966,0.09400438731404866,0.08500469065692341,0.35501799768809883,0.23856886126051755,0.8473264231842179,0.7712054068655547,1.09602731712341,0.2032988864839335,0.26055838603110565,0.8255039529098811,4.735555802811863,1.0678924578727835,0.6622600833486709,0.8099655363581045,0.40021690428669504,0.8232059647987114,0.19069624807402352,1,0,0
D1_1228_2,D1,1230.2824612176205,1.9866676292939458,0.4703477054490466,0.6648075442447324,0.2756178800799606,Intermediate,4.080113757273114,0.04865461326612098,0.20091365647966866,0.18956056746221467,0.16230213523531034,0.14214128922857083,0.20705938949170025,0.39290408504987784,0.4585631578325378,0.4715743553429883,0.48087312609721894,0.42773341022983147,0.4906247884252091,0.5418156354641613,0.384167539535742,0.669831972426427,0.028864583713676305,-11.888440687700385,0.41380906064505046,0.05756347129281925,0.080475512415611,0.14200444844753593,0.09985975517806682,0.3389100504453848,0.2949361691448893,0.8019242939466904,0.5626861082209603,1.420222230123201,0.2394763549959685,0.41983632170702667,0.8192628732599162,2.7669749596941946,1.4074469774321807,0.660132803899366,0.8655236242251078,0.4658843688198314,0.9953305899859711,0.23284050389052766,0,1,0
RD2_1214_1,RD2,1215.562224840991,0.9799185019146446,0.41885228902523014,0.5988191218797356,0.25744803794230015,Intermediate,4.986508231331686,0.049382097007275874,0.19047348840499675,0.09732874126821453,0.1120478282213815,0.07515541633172798,0.11242960704527483,0.1399521188356744,0.148927286749387,0.13404050952715252,0.11539726086822598,0.11129995378006241,0.0023085447877812565,0.19706024222707566,6.801077083150101e-05,0.2793054317952226,0.31541683913502,-1.805769951238458,-0.2553702828605432,0.008156265917031306,0.07548531481538827,0.041328724240146365,0.06415540703884298,0.16933684230211532,0.3804213267748915,1.178827976057891,1.8370281995720246,0.6419565526847985,0.44552242707519446,0.2432067871591123,0.7482375522730368,0.8382033016789598,1.9755149411348032,0.6956894170915874,0.8354153842338149,0.6386725280809232,1.3400131715208417,0.642755699053692,0,0,1
D1_1214_3,D1,1211.5498196021097,2.9759993050076363,0.42090733730805735,0.5945091121505035,0.25564527133144704,Intermediate,4.945205695263613,0.04481373593958437,0.14812177057815773,0.11893482815256541,0.10267048387671851,0.09330917764808577,0.14734058563058633,0.2737366434043638,0.2927342506427791,0.29862473529531347,0.3379253654184239,0.32689368850104594,0.5239877643832351,0.5668905939552308,0.36280889641665015,0.6587006423749276,0.11169524164380738,-18.396485519752357,0.38698597356512116,0.006283813364044091,0.0592115487411709,0.058024823838748796,0.07507898297637439,0.14165481546437264,0.527458112042627,0.7875142227493506,1.0267786822617084,0.7682929552878947,0.41737856019624914,0.4052660433263786,0.8195995648271341,1.8579170632156892,1.4576874743764276,0.6275467564018277,0.8784903268891622,0.5354040214246618,1.0348241869531498,0.27800834988198414,0,1,0
CK1_1257_2,CK1,1256.1705514365021,2.034328312353522,0.535869927122591,0.6896920434903707,0.37231888078970166,Tolerant,1.9163967022273412,0.03319872422759242,0.14306760568273383,0.12491135044919838,0.1172167479888679,0.08639167962113077,0.12047524750107544,0.23098603737085113,0.19295419831816077,0.23798557514318444,0.24966538014500855,0.20366260008869663,0.3561780900695887,0.4873593084056588,0.1918367152682124,0.5912631429940923,0.06354154789935,-4.531187388889925,0.27216354676404303,0.10041365952040975,0.06409120843390437,0.10454598814163982,0.08106670527686677,0.2725720726530254,0.29675716127294005,0.7942359224545888,0.6078715646360895,1.300920982599117,0.23586941008866155,0.38869763736833984,0.8209083325809431,3.8171689508328885,1.2134970243458272,0.667080152304505,0.8613291717671131,0.4367231002420797,0.905688423738023,0.24071127986111376,1,0,0
CK1_73_2,CK1,70.47148779589308,2.001091362573611,0.3258525336242362,0.3422498061434796,0.3122340763263709,Intermediate,8.058797549546181,0.04463206384129712,0.2010941041042193,0.17369843418864456,0.1807482828106625,0.09902572562407198,0.19805315914069083,0.3274881279494171,0.36293261928080317,0.3827629850548417,0.39138387518176604,0.378336102193079,0.3659409723750925,0.5925045777794943,0.2453323183323997,0.6031164020021831,0.0719090477317349,-2.8000817388392845,0.32241246963399883,0.015383267196144561,0.07656597092968286,0.15519602509848998,0.08738585626406388,0.3394484085167111,0.2601185037167624,0.8764124577918537,0.49446175642043094,1.7771572489310874,0.22541200497518296,0.45920633022995244,0.832210144748151,3.316240068744898,1.2816261913822138,0.6961047086574447,0.8218470130842243,0.45646763615229197,0.9350522444560476,0.2324416209786623,1,0,0
CK1_1235_1,CK1,1227.6392689094014,0.9975805048285958,0.1726896837753696,0.2365716069896933,0.11433246201108423,Sensitive,12.920445707821626,0.03621570941182516,0.1752950025834254,0.13046087659932426,0.0818876183026822,0.06250278024271005,0.11554434621555305,0.2023474586818862,0.26270955439295646,0.2774746342065023,0.2561015936450356,0.259807921171854,0.5174089738923093,0.605731986207018,0.28672513152970225,0.6507517534882752,0.14139001657969544,-6.9676567647030145,0.19000751835735466,-0.010222425095177196,0.05962253366998538,0.08120907774276022,0.06453720613556589,0.27959562448238023,0.23281101050682387,0.9245540699478528,0.7256442616482048,1.256071416938285,0.21443580944238877,0.29299468448678423,0.8289842984385113,4.743759239758531,1.0621652008194722,0.6065378176916875,0.83865282506351,0.4003746533764207,0.8235804960556132,0.20083493779019918,1,0,0
D1_1099_3,D1,1100.677678666584,3.0134568050160664,0.527285053593772,0.3496520810655225,0.7077562343760523,Tolerant,2.99116611697787,0.022377532341064058,0.11352515424854764,0.08414737792620554,0.10948569584123628,0.07648429883208241,0.11003236678010318,0.17528745673934465,0.17179383239554852,0.1708724973096113,0.1885418593410814,0.2147886800116659,0.2557321698883756,0.41479321763748217,0.11313520920190744,0.5515361586843865,0.14597820404799386,-3.0933179028039337,0.23654575319703805,-0.06571051906011242,0.06659365643537325,0.06798011340914392,0.07380744372488525,0.25320241327344467,0.29199705126866826,0.8965564410911837,0.9886846451961687,0.8980625019290248,0.263827284156127,0.2650202861453741,0.8012224616476201,1.7976031318249754,1.5148608945928321,0.6650658168859205,0.8675218989986463,0.5445749482767048,1.090374398871484,0.3538292374341562,0,1,0
CK1_73_3,CK1,70.07746508709262,2.9757792833848495,0.33051704327987597,0.33798579366325104,0.3202168107465005,Intermediate,8.028812711626813,0.02914291449340625,0.17547606763671997,0.15920056493920565,0.12461846055768688,0.08056467974912365,0.15381554822520538,0.26219472541094596,0.3138892546540234,0.29244598899524915,0.3501043152708393,0.3066380683553591,0.47699987217803663,0.6219091908339818,0.2986707745850295,0.6760368571232837,0.051971414878518106,-4.24917660579016,0.33806284004161796,0.06830376373484986,0.07385910237737256,0.14222351372635395,0.08548578054711928,0.30539223330996135,0.2803110270180371,0.8661343321790987,0.5199872133903064,1.6637876520027572,0.24099681886886218,0.4647363662336561,0.8276244435469474,2.3640083508814476,1.4432974286325568,0.7094192573534864,0.854279841719737,0.49989248317014073,1.0060962285483903,0.25995916061807317,1,0,0
